# ODT 1.0
# Table Start
# Title: mmArchive Data Table, Mon Feb 29 16:44:01 GMT 2016
# Columns: \
# {Oxs_TimeDriver::Simulation time} Oxs_TimeDriver::mx Oxs_TimeDriver::my Oxs_TimeDriver::mz
# Units: \
# s               {}              {}              {}             
  5.0000000000000005e-12 0.7866698756101197 0.59294533828153517 0.00085506213483207939
  1.0000000000000001e-11 0.78723000005311017 0.59219126795206845 0.0016327792207960891
  1.5e-11         0.78810382091290854 0.59101409825911477 0.0022690709824333241
  1.9999999999999999e-11 0.78921536128153302 0.58951531399236612 0.0027138551523574811
  2.4999999999999998e-11 0.79047105995080602 0.58782019515445372 0.0029350182115165787
  3e-11           0.7917682180998189 0.5860667608410568 0.0029214973908100539
  3.5000000000000002e-11 0.79300420037307173 0.58439360732947176 0.0026826004068411448
  4.0000000000000004e-11 0.79408527149602304 0.5829276478688461 0.002246616183777677
  4.5000000000000006e-11 0.79493378172194107 0.58177438343194954 0.0016566882902084323
  5.0000000000000008e-11 0.79549404960057202 0.58100936467559583 0.00096629844607472651
  5.500000000000001e-11 0.79573536198182937 0.58067418593483544 0.000233906517853107
  6.0000000000000013e-11 0.79565342336737876 0.58077448582061375 -0.00048253766623556168
  6.5000000000000008e-11 0.79526935629597784 0.58128149410887886 -0.0011298386811286426
  7.0000000000000004e-11 0.79462582624440947 0.58213782606029241 -0.0016638545043174307
  7.5e-11         0.793782459235158 0.58326402187984627 -0.0020524740840931685
  7.9999999999999995e-11 0.79281043904903714 0.5845660283724099 -0.0022773390432927038
  8.4999999999999991e-11 0.79178654291199646 0.58594250898554712 -0.0023335919147489019
  8.9999999999999986e-11 0.79078642031242863 0.58729358803754605 -0.002228974328840231
  9.4999999999999982e-11 0.78987861941058912 0.58852841670366052 -0.0019819482086241959
  9.9999999999999978e-11 0.78911967212797796 0.58957160370321049 -0.0016194556754544726
  1.0499999999999997e-10 0.78855081631892798 0.59036748835954678 -0.0011740691412388028
  1.0999999999999997e-10 0.78819650408425135 0.59088180313408312 -0.00068121682326939201
  1.1499999999999996e-10 0.7880643192409279 0.59110165482474242 -0.00017603905973880701
  1.1999999999999997e-10 0.78814609433865479 0.59103388751584229 0.00030889419379974523
  1.2499999999999998e-10 0.78842066228893015 0.59070178152528796 0.00074603024670762456
  1.2999999999999999e-10 0.78885689345622856 0.59014117401412181 0.0011141801087535474
  1.35e-10        0.78941713366215016 0.58939691793915616 0.0013992374840357633
  1.4000000000000001e-10 0.79006064422168598 0.58851971248644874 0.0015937457746453033
  1.4500000000000002e-10 0.79074733663865249 0.58756206900540708 0.0016958734207271598
  1.5000000000000002e-10 0.79144020688130512 0.58657573856813017 0.0017081973871673104
  1.5500000000000003e-10 0.79210679372029436 0.58560969454102996 0.0016360931482108788
  1.6000000000000004e-10 0.79271937467228615 0.5847096923440096 0.0014867259466232428
  1.6500000000000005e-10 0.7932544563842916 0.58391783449625467 0.0012680429091328151
  1.7000000000000006e-10 0.79369210670640455 0.5832719899130796 0.00098868148518007704
  1.7500000000000007e-10 0.79401523219623771 0.58280451054840343 0.00065826112607784623
  1.8000000000000008e-10 0.79420907327592505 0.58254077113505121 0.00028817467932308052
  1.8500000000000008e-10 0.79426113416789279 0.58249833381756533 -0.0001075619190311862
  1.9000000000000009e-10 0.79416229284428896 0.58268504973704038 -0.00051189908010465068
  1.950000000000001e-10 0.7939083353930726 0.5830978348895518 -0.00090434855907701637
  2.0000000000000011e-10 0.79350175444401438 0.58372201539268709 -0.0012619329068711404
  2.0500000000000012e-10 0.7929538512776857 0.58453089839156547 -0.0015604672322881549
  2.1000000000000013e-10 0.79228628139618573 0.58548558178783827 -0.0017767043099736937
  2.1500000000000014e-10 0.79153181821106011 0.58653511494611288 -0.0018903864539010383
  2.2000000000000015e-10 0.79073337718716574 0.587618617103291 -0.0018864638767224454
  2.2500000000000015e-10 0.78994182324026618 0.58866834764783516 -0.0017570520765735416
  2.3000000000000016e-10 0.78921250461878456 0.5896143660633173 -0.0015030191769970136
  2.3500000000000017e-10 0.78860117561305942 0.59038919109481769 -0.0011348970334116469
  2.4000000000000015e-10 0.78815940040629762 0.59093244815430579 -0.0006726892459787032
  2.4500000000000014e-10 0.78792949698657266 0.59119604241598989 -0.00014488671122610383
  2.5000000000000012e-10 0.78794009280458377 0.59114880102342648 0.0004132665226841236
  2.550000000000001e-10 0.78820242837912113 0.59078016861003424 0.00096235117459149552
  2.6000000000000008e-10 0.78870806090169054 0.59010242180055728 0.0014615034571201059
  2.6500000000000007e-10 0.78942827322433606 0.58915151192399884 0.0018715123254738411
  2.7000000000000005e-10 0.79031540417965807 0.58798602263422217 0.0021578057329271205
  2.7500000000000003e-10 0.79130629301441802 0.58668365294609381 0.0022935164107040821
  2.8000000000000002e-10 0.79232700575209258 0.58533624200295098 0.0022622114143941211
  2.85e-10        0.79329887396397603 0.58404318245481723 0.0020599341751498224
  2.8999999999999998e-10 0.79414493925351815 0.58290421004332571 0.0016963796254122654
  2.9499999999999996e-10 0.79479662374484783 0.58201160977634991 0.0011947997743744717
  2.9999999999999995e-10 0.79519977172179412 0.58144198834263572 0.00059101591673775544
  3.0499999999999993e-10 0.79531941062311395 0.58124855463628999 -6.9119397660423484e-05
  3.0999999999999991e-10 0.79514307776121818 0.58145494872074188 -0.00073333792968881685
  3.1499999999999989e-10 0.79468196886270726 0.58205214711057829 -0.001347403084827941
  3.1999999999999988e-10 0.79397043131352141 0.58299795181311798 -0.001860207867374856
  3.2499999999999986e-10 0.79306330906023714 0.58421995592549514 -0.0022285286787643217
  3.2999999999999984e-10 0.79203171647655501 0.58562156400924203 -0.0024215083539682208
  3.3499999999999983e-10 0.79095717825111422 0.58709057624837213 -0.0024234559028561658
  3.3999999999999981e-10 0.78992476929072852 0.58850924723797926 -0.0022355295058001149
  3.4499999999999979e-10 0.78901581626784567 0.58976473101598859 -0.0018752596377625075
  3.4999999999999977e-10 0.78830069467336028 0.59075905813884011 -0.0013747985907354356
  3.5499999999999976e-10 0.78783291079753892 0.59141740074337201 -0.00077753318052163796
  3.5999999999999974e-10 0.787644425596562 0.59169457458782371 -0.00013373607763241124
  3.6499999999999972e-10 0.7877433696794115 0.59157794962608068 0.00050403851503503768
  3.699999999999997e-10 0.78811402705876066 0.59108707570810359 0.0010856789327598811
  3.7499999999999969e-10 0.78871919890530839 0.59027054847056948 0.001567594600131007
  3.7999999999999967e-10 0.78950434788729074 0.58920089159401401 0.001916250220422635
  3.8499999999999965e-10 0.79040304513174786 0.58796775847594418 0.0021103661109979546
  3.8999999999999964e-10 0.79134329005906245 0.58666985184364639 0.0021420522387942285
  3.9499999999999962e-10 0.79225360893069685 0.58540679652870031 0.0020166397151343439
  3.999999999999996e-10 0.79306882823437275 0.58427099131747517 0.0017513787179414162
  4.0499999999999958e-10 0.79373463611760853 0.58334066786242145 0.0013732818489154905
  4.0999999999999957e-10 0.79421098197584439 0.58267428367163143 0.00091620456201052373
  4.1499999999999955e-10 0.79447408969608546 0.58230679901542159 0.00041770657616943139
  4.1999999999999953e-10 0.79451705005676387 0.58224850360235114 -8.4213467890907051e-05
  4.2499999999999951e-10 0.79434899534264525 0.58248622355002344 -0.00055413901115286426
  4.299999999999995e-10 0.79399313052643827 0.58298619055581558 -0.00096183504229500579
  4.3499999999999948e-10 0.79348401855216866 0.58369804653800739 -0.0012841037880413062
  4.3999999999999946e-10 0.79286424340077577 0.58456000700981237 -0.0015057937859592112
  4.4499999999999945e-10 0.79218064972063718 0.58550490530001686 -0.001619974373813296
  4.4999999999999943e-10 0.79148068302142605 0.58646593019058912 -0.0016275234269298882
  4.5499999999999941e-10 0.79080898701918367 0.58738181104900133 -0.0015360464903840531
  4.5999999999999939e-10 0.79020468788996356 0.58820053265404526 -0.0013585833363031767
  4.6499999999999938e-10 0.78969947455994438 0.58888157444706346 -0.0011119133939523273
  4.6999999999999941e-10 0.78931648077990424 0.58939672716151104 -0.00081492720926996021
  4.7499999999999939e-10 0.78906994155427645 0.58972955130834825 -0.00048694351133543232
  4.7999999999999938e-10 0.78896555889634057 0.58987401936601369 -0.00014649613804068796
  4.8499999999999936e-10 0.78900145463064619 0.58983275463298235 0.00018950580002193503
  4.8999999999999934e-10 0.78916921947756402 0.5896156880165494 0.00050620327923111717
  4.9499999999999932e-10 0.78945511264608559 0.58923868292147308 0.0007907038365595686
  4.9999999999999931e-10 0.78984131100935429 0.58872237960884444 0.0010318502241859514
  5.0499999999999929e-10 0.79030695646023885 0.58809165268576979 0.0012198223525511135
  5.0999999999999927e-10 0.79082893636220186 0.58737552514193692 0.0013460073497068472
  5.1499999999999926e-10 0.79138236209162904 0.58660738198517004 0.0014030684617754364
  5.1999999999999924e-10 0.79194093163450929 0.58582478924411308 0.0013854470642811428
  5.2499999999999922e-10 0.79247733998305381 0.58506869373023995 0.001290086980911381
  5.299999999999992e-10 0.79296396125757662 0.58438167432101673 0.0011173961719825065
  5.3499999999999919e-10 0.79337361345518431 0.58380578602638766 0.00087227917410912057
  5.3999999999999917e-10 0.79368064428173435 0.5833798653029777 0.0005647423250719556
  5.4499999999999915e-10 0.79386250451300944 0.58313642148488665 0.00021004958342211465
  5.4999999999999913e-10 0.79390162955623655 0.5830987589426444 -0.00017171440563303826
  5.5499999999999912e-10 0.79378728074592642 0.58327868503868374 -0.00055665520146636527
  5.599999999999991e-10 0.79351734034952115 0.58367469244078884 -0.0009187705190221695
  5.6499999999999908e-10 0.7930998504469341 0.58427066828965024 -0.001232034290413745
  5.6999999999999907e-10 0.79255389943783494 0.58503567868297279 -0.0014725709733531978
  5.7499999999999905e-10 0.79190953849210777 0.58592505344658896 -0.0016206371402763635
  5.7999999999999903e-10 0.79120651023121225 0.58688285750551639 -0.0016622237547363888
  5.8499999999999901e-10 0.7904918641965254 0.58784549359746341 -0.0015903291524234221
  5.89999999999999e-10 0.78981681651549562 0.5887458025030271 -0.0014057870842785532
  5.9499999999999898e-10 0.78923292109277376 0.58951775533008555 -0.0011174935781681061
  5.9999999999999896e-10 0.78878773002819591 0.59010149184012184 -0.00074215762878466313
  6.0499999999999894e-10 0.78852041519113503 0.59044827331482352 -0.00030354638447194812
  6.0999999999999893e-10 0.78845795423773279 0.59052470223716846 0.00016877651881862769
  6.1499999999999891e-10 0.78861212336482189 0.59031614805420041 0.00064134346646686703
  6.1999999999999889e-10 0.78897760053224675 0.58982911326308629 0.0010790596155774356
  6.2499999999999888e-10 0.78953167864546281 0.58909178295156195 0.0014477697970495843
  6.2999999999999886e-10 0.7902356262089949 0.58815276898995683 0.0017170710918072707
  6.3499999999999884e-10 0.7910376268709719 0.58707798955463331 0.001863109377350011
  6.3999999999999882e-10 0.79187689013084095 0.58594613593037059 0.001871160798253176
  6.4499999999999881e-10 0.79268854160907121 0.58484298257828504 0.0017374102792173073
  6.4999999999999879e-10 0.79340901898435912 0.5838546382985168 0.0014697534592681923
  6.5499999999999877e-10 0.79398151983136267 0.58306020460459218 0.0010874221966039768
  6.5999999999999875e-10 0.79436095962158404 0.58252447611791536 0.00061956528858502261
  6.6499999999999874e-10 0.79451768697999925 0.58229199003476095 0.00010286993591602554
  6.6999999999999872e-10 0.79443990676604515 0.58238267977870695 -0.00042166387519043517
  6.749999999999987e-10 0.7941346117057162 0.58278974711616083 -0.0009122886481344139
  6.7999999999999869e-10 0.79362690878363829 0.58348012321453957 -0.001330219398830961
  6.8499999999999867e-10 0.79295782812750137 0.58439747069580683 -0.0016429757398388424
  6.8999999999999865e-10 0.79218081237849125 0.58546734637337949 -0.0018271549818138315
  6.9499999999999863e-10 0.79135725003494439 0.58660381291607988 -0.0018702445444463446
  6.9999999999999862e-10 0.79055132416141516 0.5877170114024437 -0.0017714043417266906
  7.049999999999986e-10 0.78982465237101462 0.58872087274757212 -0.0015411943237135417
  7.0999999999999858e-10 0.78923110744811964 0.58954043870400674 -0.0012003321632631178
  7.1499999999999856e-10 0.7888124765717105 0.59011788200780968 -0.00077777096252834913
  7.1999999999999855e-10 0.78859547632946525 0.59041649416085196 -0.00030811860762359388
  7.2499999999999853e-10 0.7885901541474768 0.59042266811615574 0.00017135274163414157
  7.2999999999999851e-10 0.78878970148457273 0.59014599753758856 0.0006238513141229795
  7.349999999999985e-10 0.78917171244443307 0.58961753917182103 0.0010160250403943437
  7.3999999999999848e-10 0.78970077351243562 0.58888633450387995 0.0013205545266899083
  7.4499999999999846e-10 0.79033201183167734 0.58801468156831771 0.0015181704925864769
  7.4999999999999844e-10 0.79101519990641 0.58707256151451626 0.001598900435059984
  7.5499999999999843e-10 0.79169900078555033 0.58613171090038463 0.0015624337879586504
  7.5999999999999841e-10 0.79233499431155407 0.58525981232081903 0.0014175678969181728
  7.6499999999999839e-10 0.79288121467369166 0.58451524170218427 0.0011808814949523503
  7.6999999999999837e-10 0.79330485331251555 0.58394298592456351 0.00087486117301388935
  7.7499999999999836e-10 0.79358392831036273 0.58357219845783148 0.00052558507080886622
  7.7999999999999834e-10 0.79370803018794245 0.58341532102684879 0.00016023257112952557
  7.8499999999999832e-10 0.79367815311178325 0.58346858079270336 -0.00019524673589632182
  7.8999999999999831e-10 0.79350561150903975 0.58371384000676896 -0.00051806266071636477
  7.9499999999999829e-10 0.79321015846000353 0.58412167287948114 -0.00078998357977840472
  7.9999999999999827e-10 0.79281768449744661 0.58465507807006045 -0.00099816168556497937
  8.0499999999999825e-10 0.79235779311465548 0.58527330454152537 -0.001135297603290145
  8.0999999999999824e-10 0.79186149810799689 0.58593527906773946 -0.0011992877665176764
  8.1499999999999822e-10 0.79135919509459351 0.58660232157322711 -0.0011924324334939792
  8.199999999999982e-10 0.79087899394676409 0.58723995248433492 -0.0011204877071043242
  8.2499999999999819e-10 0.79044556552044964 0.58781868183734975 -0.00099163258010444917
  8.2999999999999817e-10 0.79007942052299596 0.58831400777292164 -0.00081547932848587926
  8.3499999999999815e-10 0.78979653885872869 0.5887059945866332 -0.00060231318870261467
  8.3999999999999813e-10 0.78960823383644974 0.58897895895829455 -0.00036267373922134103
  8.4499999999999812e-10 0.78952126653144272 0.58912132094006908 -0.00010727985827848047
  8.499999999999981e-10 0.78953807982061985 0.58912569705805118 0.0001529145280945757
  8.5499999999999808e-10 0.78965697959005121 0.58898937282388897 0.00040660191664844804
  8.5999999999999806e-10 0.78987223570110499 0.58871512544079108 0.00064210747266033312
  8.6499999999999805e-10 0.79017411875307253 0.58831220676171847 0.00084753243755672373
  8.6999999999999803e-10 0.79054899075955354 0.58779708827223587 0.001011156440193251
  8.7499999999999801e-10 0.79097944300806311 0.58719375829758325 0.0011220971200611694
  8.79999999999998e-10 0.79144453761350975 0.58653333125425733 0.001171143704642494
  8.8499999999999798e-10 0.79192023026167202 0.58585293330550148 0.0011517054580232335
  8.8999999999999796e-10 0.79238007590315107 0.58519388204814737 0.0010607577111667009
  8.9499999999999794e-10 0.79279631351652513 0.58459918038043124 0.00089965364317439096
  8.9999999999999793e-10 0.79314133277258803 0.58411060390882241 0.00067461830591830706
  9.0499999999999791e-10 0.79338951106710831 0.58376564666372888 0.00039682798561239415
  9.0999999999999789e-10 0.79351928416904993 0.58359449182110668 8.2041367030954792e-05
  9.1499999999999787e-10 0.79351525157111313 0.58361713581368646 -0.00025021431789908267
  9.1999999999999786e-10 0.79337006935940846 0.58384095429512073 -0.00057784760915238883
  9.2499999999999784e-10 0.79308588701609517 0.58425908739054222 -0.00087771398797654369
  9.2999999999999782e-10 0.79267517300721158 0.58484987071063177 -0.0011273075587347355
  9.3499999999999791e-10 0.79216075508977668 0.58557751112286538 -0.0013064943114655142
  9.3999999999999799e-10 0.79157496451759357 0.58639400076052683 -0.001399182499757943
  9.4499999999999808e-10 0.79095781491213935 0.58724221853369973 -0.0013947914800704975
  9.4999999999999817e-10 0.79035427734936126 0.58806009236736967 -0.0012894458618273044
  9.5499999999999825e-10 0.78981082716552731 0.58878546292944767 -0.0010867562287022381
  9.5999999999999834e-10 0.78937154896588579 0.58936116293792762 -0.0007981032378743219
