# ODT 1.0
# Table Start
# Title: mmArchive Data Table, Mon Jul 27 14:33:29 BST 2015
# Columns: \
# {Oxs_TimeDriver::Simulation time} Oxs_TimeDriver::mx Oxs_TimeDriver::my Oxs_TimeDriver::mz
# Units: \
# s               {}              {}              {}             
  5.0000000000000005e-12 0.78662352022947701 0.59300728835564853 0.00085095870781711196
  1.0000000000000001e-11 0.78718102446904192 0.5922568857828866 0.0016249449841726073
  1.5e-11         0.78805076382842254 0.59108544479804237 0.002258184090818171
  1.9999999999999999e-11 0.78915712248278469 0.58959396045059997 0.0027008336970357387
  2.4999999999999998e-11 0.79040698087578165 0.58790710614468678 0.0029209341308031453
  3e-11           0.79169812065734924 0.58616223019434743 0.0029074753100526395
  3.5000000000000002e-11 0.79292838225846896 0.58449725193631596 0.0026697204983623176
  4.0000000000000004e-11 0.79400446069238362 0.58303846235478762 0.0022358234096654423
  4.5000000000000006e-11 0.79484905942608652 0.58189084259789392 0.0016487214811374102
  5.0000000000000008e-11 0.79540674830168889 0.58112956933327276 0.00096164120687834882
  5.500000000000001e-11 0.79564695167947153 0.58079602964098587 0.00023276333516169783
  6.0000000000000013e-11 0.79556539259726788 0.58089583221992003 -0.00048023931303165765
  6.5000000000000008e-11 0.79518309779540786 0.58140034740457958 -0.0011244261072713619
  7.0000000000000004e-11 0.79454253949556419 0.58225247313275863 -0.0016558672985147618
  7.5e-11         0.79370307280368479 0.58337314166583942 -0.0020426072529487753
  7.9999999999999995e-11 0.79273555638192661 0.58466876357935571 -0.0022663780511918983
  8.4999999999999991e-11 0.79171641437036966 0.58603850169459304 -0.0023223483256985889
  8.9999999999999986e-11 0.79072094554693562 0.58738297176810894 -0.0022182251545547417
  9.4999999999999982e-11 0.78981737723262235 0.58861177117760743 -0.0019723838980130596
  9.9999999999999978e-11 0.78906197373962905 0.58964987763354737 -0.0016116384804907614
  1.0499999999999997e-10 0.78849577470243493 0.59044190118188278 -0.001168404974694841
  1.0999999999999997e-10 0.7881431118988006 0.59095373869923717 -0.00067794028124043906
  1.1499999999999996e-10 0.78801152838624289 0.59117255592415796 -0.00017521366089839516
  1.1999999999999997e-10 0.78809289201518895 0.59110515909590522 0.00030736451571031486
  1.2499999999999998e-10 0.78836613531490252 0.59077471063905584 0.00074237766144810973
  1.2999999999999999e-10 0.78880027871778757 0.59021686985577559 0.0011087423978398501
  1.35e-10        0.78935785197678066 0.58947626948553189 0.0013924234875253871
  1.4000000000000001e-10 0.78999831693523792 0.58860336088335341 0.0015860023040273135
  1.4500000000000002e-10 0.79068178290662472 0.587650398950607 0.001687656935247483
  1.5000000000000002e-10 0.79137142705297248 0.58666888150483198 0.0016999511193888706
  1.5500000000000003e-10 0.7920349439155413 0.58570754168162731 0.0016282320663933119
  1.6000000000000004e-10 0.79264473884451847 0.58481190985285092 0.0014796264914056214
  1.6500000000000005e-10 0.79317742084288589 0.58402388131996708 0.0012620378746116584
  1.7000000000000006e-10 0.79361313876680983 0.58338113916707401 0.00098405596935176353
  1.7500000000000007e-10 0.79393486438845506 0.58291587821234503 0.00065524785879636797
  1.8000000000000008e-10 0.79412789243092818 0.58265335331736456 0.00028694680183890181
  1.8500000000000008e-10 0.79417977322165179 0.58261104828146326 -0.00010690132618290671
  1.9000000000000009e-10 0.79408141943277377 0.5827967859081038 -0.00050932880757602848
  1.950000000000001e-10 0.79382863392462155 0.58320750857897063 -0.00089994285468965318
  2.0000000000000011e-10 0.79342389974232586 0.58382862450124784 -0.0012558707578802235
  2.0500000000000012e-10 0.79287847160964864 0.58463357818932449 -0.0015530362831158162
  2.1000000000000013e-10 0.79221391323029966 0.58558365905261001 -0.0017682955479706199
  2.1500000000000014e-10 0.79146285606339029 0.58662816077070201 -0.0018814799297733123
  2.2000000000000015e-10 0.79066802666738445 0.58770648996098496 -0.0018776049310550835
  2.2500000000000015e-10 0.78988006328962423 0.58875122284176595 -0.0017488189229473696
  2.3000000000000016e-10 0.78915406493223961 0.5896927445270842 -0.0014959837716778668
  2.3500000000000017e-10 0.78854553277229911 0.59046388698334595 -0.0011295823443923496
  2.4000000000000015e-10 0.78810579494381083 0.59100455600885826 -0.00066952745764472079
  2.4500000000000014e-10 0.78787697348575902 0.59126688158101981 -0.00014418153264748076
  2.5000000000000012e-10 0.78788756075457733 0.59121983899381503 0.00041137024093314213
  2.550000000000001e-10 0.78814874068842355 0.59085292705862336 0.00095788692914576588
  2.6000000000000008e-10 0.78865210373074546 0.59017837188338096 0.001454691241762725
  2.6500000000000007e-10 0.78936905897847975 0.58923196464397631 0.0018627534112794161
  2.7000000000000005e-10 0.79025215903203516 0.5880720218468628 0.0021476640201426424
  2.7500000000000003e-10 0.79123852879348222 0.58677588244716694 0.0022826855302214011
  2.8000000000000002e-10 0.79225456997723354 0.5854349541147772 0.0022514686287750971
  2.85e-10        0.79322197210644496 0.58414815625754379 0.0020500840543917916
  2.8999999999999998e-10 0.79406412724668196 0.58301474365617323 0.001688191066892364
  2.9499999999999996e-10 0.79471277075132207 0.58212654965063959 0.0011889416806384453
  2.9999999999999995e-10 0.79511399676546746 0.5815597983739752 0.00058799583866450851
  3.0499999999999993e-10 0.79523299860863617 0.5813674245192435 -6.9005820221663519e-05
  3.0999999999999991e-10 0.79505738045505736 0.58157293558378442 -0.00073004116639162103
  3.1499999999999989e-10 0.79459829996233977 0.58216733525935882 -0.0013411332675662469
