# ODT 1.0
# Table Start
# Title: mmArchive Data Table, Fri Jul 31 18:43:24 BST 2015
# Columns: \
# {Oxs_TimeDriver::Simulation time} Oxs_TimeDriver::mx Oxs_TimeDriver::my Oxs_TimeDriver::mz
# Units: \
# s               {}              {}              {}             
  4.9999999999999997e-12 0.78662351562680943 0.59300729475113378 0.00085096112448628176
  9.9999999999999978e-12 0.78718102109770716 0.59225689046681917 0.0016249480354540791
  1.4999999999999997e-11 0.78805076190174195 0.59108544744524416 0.0022581875676584676
  1.9999999999999996e-11 0.78915712211449329 0.58959396089841376 0.0027008373462525681
  2.4999999999999994e-11 0.79040698204484772 0.58790710438751026 0.0029209376218472024
  2.9999999999999993e-11 0.79169812332039191 0.58616222629401493 0.0029074784941751711
  3.4999999999999995e-11 0.79292838618949635 0.58449724630818112 0.002669723132349729
  3.9999999999999998e-11 0.79400446558839755 0.5830384554097503 0.0022358252808167669
  4.5e-11         0.79484906492543594 0.58189083485079285 0.0016487225055669401
  5.0000000000000002e-11 0.79540675400798821 0.58112956134269311 0.00096164130126420776
  5.5000000000000004e-11 0.79564695718543044 0.58079602197319591 0.0002327624895543251
  6e-11           0.79556539753027744 0.58089582540855056 -0.00048024101325467027
  6.4999999999999995e-11 0.79518310183689156 0.58140034189590661 -0.0011244285397245203
  6.9999999999999991e-11 0.79454254237128852 0.58225246930068719 -0.0016558702395028976
  7.4999999999999987e-11 0.79370307435317966 0.58337313970327076 -0.0020426104808941785
  7.9999999999999982e-11 0.79273555649718919 0.5846687635861445 -0.0022663813585425134
  8.4999999999999978e-11 0.7917164130612665 0.58603850359915299 -0.0023223514572748146
  8.9999999999999974e-11 0.79072094290625239 0.58738297539253537 -0.0022182279418180091
  9.4999999999999969e-11 0.78981737347753023 0.58861177619260041 -0.0019723861544179958
  9.9999999999999965e-11 0.78906196914540416 0.58964988367437099 -0.0016116400684576225
  1.0499999999999996e-10 0.78849576961091161 0.59044190782914296 -0.0011684057938031415
  1.0999999999999996e-10 0.78814310665661569 0.59095374550463509 -0.00067794032077248608
  1.1499999999999995e-10 0.78801152335448521 0.59117256243342009 -0.00017521293960736365
  1.1999999999999995e-10 0.78809288752979179 0.5911051649016239 0.00030736594280071996
  1.2499999999999996e-10 0.78836613165877734 0.59077471540206572 0.00074237969914594886
  1.2999999999999996e-10 0.78880027609951064 0.59021687332262385 0.0011087449047697631
  1.3499999999999997e-10 0.78935785054889429 0.58947627145254733 0.0013924262972082289
  1.3999999999999998e-10 0.78999831674628873 0.5886033612917988 0.0015860052357236304
  1.4499999999999999e-10 0.79068178390046562 0.58765039775028627 0.001687659768090538
  1.5e-10         0.7913714291162095 0.58666887880321961 0.00169995367874285
  1.5500000000000001e-10 0.79203494684614117 0.58570753761287064 0.0016282341859263471
  1.6000000000000002e-10 0.79264474250126027 0.5848119047033683 0.001479628055317233
  1.6500000000000002e-10 0.79317742496863219 0.58402387543284995 0.0012620388019441541
  1.7000000000000003e-10 0.79361314311316844 0.58338113292748361 0.0009840561989596481
  1.7500000000000004e-10 0.7939348686954214 0.58291587200600548 0.00065524740379266095
  1.8000000000000005e-10 0.79412789643404291 0.58265334753411413 0.00028694570313312343
  1.8500000000000006e-10 0.79417977668328243 0.58261104326050683 -0.00010690298600188485
  1.9000000000000007e-10 0.79408142214325061 0.5827967819503509 -0.00050933090567361304
  1.9500000000000008e-10 0.7938286357164378 0.58320750592761772 -0.0008999452614621748
  2.0000000000000008e-10 0.79342390050884859 0.5838286233127794 -0.0012558733441683635
  2.0500000000000009e-10 0.79287847129632893 0.58463357851610132 -0.0015530388961289847
  2.100000000000001e-10 0.79221391184503298 0.58558366087860059 -0.0017682980324787985
  2.1500000000000011e-10 0.79146285368913005 0.58662816399163809 -0.0018814821359503548
  2.2000000000000012e-10 0.79066802345366327 0.58770649436232825 -0.0018776067050477634
